dataset_name,n_instances,n_features,ratio_instances_to_features,n_numeric_features,n_categorical_features,ratio_numeric_features,ratio_categorical_features,n_missing_values,missing_value_ratio,n_classes,class_imbalance_ratio,majority_class_percentage,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,mean_correlation_abs,class_entropy,normalized_class_entropy,landmarker_decision_stump,landmarker_naive_bayes,openml_id,best_algorithm,best_f1_score,DecisionTree,GaussianNB,GradientBoosting,KNN,LogisticRegression,RandomForest
openml_61_iris,150,4,37.49999990625,4,0,0.9999999975,0.0,0,0.0,3,0.9999999998,0.3333333333111111,0.0667000637091138,0.2614337370586125,-0.7656823989531729,0.6656022511273963,0.5898157206151017,1.584962500716828,0.9999999999972692,0.66,0.94,61,KNN,0.9732999164578111,0.9531151110098477,0.9465329991645781,0.9531151110098477,0.9732999164578111,0.9532163742690057,0.9464317359054201
openml_31_credit-g,1000,20,49.999999975,7,13,0.3499999998249999,0.649999999675,0,0.0,2,2.333333333255556,0.699999999993,0.9189979813883816,0.9035938958246408,0.9136685975028616,1.7765516638482737,0.1024858337477361,0.8812908992278072,0.8812908992278072,0.699999400598203,0.7160004315692938,31,GradientBoosting,0.7500830998253426,0.6957225973920342,0.7081079126884872,0.7500830998253426,0.6935418637088929,0.687935228465925,0.7353690674571113
openml_37_diabetes,768,8,95.99999988,8,0,0.99999999875,0.0,0,0.0,2,1.86567164172143,0.6510416666581895,0.5282118837708745,1.238665108772285,2.749524196420432,2.732333722223152,0.1716567889709265,0.9331343166378978,0.9331343166378978,0.7174479166666666,0.7421875,37,LogisticRegression,0.7671450123949881,0.7010453084927148,0.7533871549296931,0.7612367966589035,0.7232662663565785,0.7671450123949881,0.7629236079458585
openml_1464_blood-transfusion-service-center,748,4,186.9999995325,4,0,0.9999999975,0.0,0,0.0,2,3.202247190831334,0.7620320855513097,2.258570337939217,1.026961731837591,10.148276743801553,6.555214709542027,0.4659982618308533,0.7916446298423474,0.7916446298423474,0.7620348058902277,0.746045515394913,1464,KNN,0.7573874909543177,0.6946840737543543,0.7133182938302002,0.7521730414604482,0.7573874909543177,0.7094243652988246,0.7294466531986659
openml_1480_ilpd,583,10,58.2999999417,9,1,0.8999999991,0.0999999999,0,0.0,2,2.491017963922693,0.7135506003308139,3.28233963317428,3.4279359207107274,29.774769582243596,45.6125653949663,0.2075935146500311,0.8640904272458769,0.8640904272458769,0.7135518547889682,0.5727641201868006,1480,RandomForest,0.6927889428673342,0.651717317864237,0.5522979683872153,0.6833752063410691,0.6618103274589875,0.6764744307559922,0.6927889428673342
openml_1489_phoneme,5404,5,1080.7999978384,5,0,0.999999998,0.0,0,0.0,2,2.407313997462753,0.7065136935590183,0.7792488840631137,0.4927578388611471,0.3383246372349385,1.0952004194703564,0.1260888570343113,0.8731822577212551,0.8731822577212551,0.755182152062107,0.7614720764946838,1489,RandomForest,0.9092210978182415,0.8717082489122706,0.7673638331689074,0.8579675824245132,0.876136896828784,0.7426156909394761,0.9092210978182415
openml_1510_wdbc,569,30,18.966666660344444,30,0,0.9999999996666666,0.0,0,0.0,2,1.683962264071511,0.6274165201998696,1.7358151979541776,1.2539196996432502,7.735706478700378,12.547731558905737,0.394896630703918,0.9526351223989746,0.9526351223989746,0.8840248770073332,0.9367492806089296,1510,LogisticRegression,0.9734180089264359,0.9096714952845628,0.92945725811489,0.9503430335274772,0.9627998178476588,0.9734180089264359,0.954186542274066
openml_1462_banknote-authentication,1372,4,342.99999914250003,4,0,0.9999999975,0.0,0,0.0,2,1.2491803278483742,0.5553935860017829,-0.119160958610655,0.7657571527392616,0.1398975594439009,0.7929946735345802,0.4256248587772269,0.9911281257438608,0.9911281257438608,0.8527785475173509,0.8389248277641347,1462,KNN,0.9978110744189269,0.9832325498198804,0.8390034485870806,0.9956265562800869,0.9978110744189269,0.981080286717115,0.9927094690459988
openml_1049_pc4,1458,37,39.40540539475529,37,0,0.9999999997297296,0.0,0,0.0,2,7.191011235551066,0.8779149519830047,6.443644242739791,5.102143840486935,104.72300031140512,148.7757226859507,0.3509771129070362,0.5353247216300582,0.5353247216300582,0.877914951989026,0.8717421124828532,1049,LogisticRegression,0.9002251208127154,0.8700976972105036,0.8747114372672739,0.8935850801806199,0.8777215503747714,0.9002251208127154,0.8907393089816319
openml_40981_Australian,690,14,49.2857142505102,6,8,0.4285714282653061,0.5714285710204081,0,0.0,2,1.2475570032166918,0.5550724637600714,0.9077734922358798,0.592899203156595,0.1802705006469057,1.82596843499451,0.1922118624432824,0.991230898900467,0.991230898900467,0.8550724637681159,0.8463768115942029,40981,GradientBoosting,0.8751854944779376,0.8246043125777304,0.852918944245906,0.8751854944779376,0.8412612460239858,0.8738945154744868,0.8708457121410811
