account_length_months,monthly_charges_usd,total_charges_usd,customer_service_calls,contract_type,payment_method,international_plan,target
52,29.13,421.97,2,Month-to-Month,Credit Card,No,0
15,51.93,3900.09,0,Month-to-Month,Credit Card,No,1
61,115.01,2321.12,3,Two-Year,Mailed Check,No,0
21,115.06,2669.51,1,Month-to-Month,Credit Card,No,0
24,77.34,2259.74,2,Month-to-Month,Electronic,No,0
3,83.18,2063.74,1,Month-to-Month,Bank Transfer,No,1
22,64.84,2842.24,1,Month-to-Month,Bank Transfer,No,0
53,49.32,860.68,1,One-Year,Electronic,No,0
2,52.87,991.45,2,Month-to-Month,Credit Card,No,0
30,87.25,4322.75,0,Month-to-Month,Mailed Check,No,0
38,95.24,4735.97,0,Month-to-Month,Credit Card,No,0
2,99.16,1929.22,0,Month-to-Month,Electronic,No,1
64,98.96,1426.65,0,One-Year,Credit Card,No,0
60,29.12,3255.6,3,Two-Year,Bank Transfer,No,0
21,69.44,2102.8,0,Two-Year,Credit Card,Yes,0
33,25.76,224.39,4,One-Year,Electronic,No,0
58,74.95,865.15,0,Month-to-Month,Bank Transfer,No,0
22,64.15,3608.26,0,One-Year,Credit Card,No,0
49,108.77,3328.73,2,Month-to-Month,Credit Card,No,0
59,55.09,232.77,1,Month-to-Month,Bank Transfer,No,0
42,31.71,1187.66,1,Two-Year,Mailed Check,No,0
60,34.3,1232.27,1,Month-to-Month,Bank Transfer,No,0
15,96.15,3392.27,2,Two-Year,Mailed Check,No,1
62,81.82,196.58,0,Month-to-Month,Electronic,No,0
62,30.11,610.13,5,One-Year,Electronic,No,0
47,28.41,4019.59,4,One-Year,Bank Transfer,No,0
62,90.1,974.87,1,Two-Year,Bank Transfer,No,0
51,27.28,3298.46,0,One-Year,Electronic,No,0
55,102.19,1267.1,1,One-Year,Mailed Check,No,0
64,90.62,587.26,0,Month-to-Month,Electronic,No,1
3,28.13,1291.54,0,Month-to-Month,Bank Transfer,No,0
51,28.48,3639.11,0,Month-to-Month,Electronic,No,0
7,118.66,4292.91,1,One-Year,Bank Transfer,No,0
21,57.43,4168.08,3,Month-to-Month,Bank Transfer,Yes,1
39,57.06,2046.2,2,One-Year,Electronic,No,0
18,101.28,3373.62,2,Month-to-Month,Mailed Check,No,0
4,114.72,1104.42,1,Month-to-Month,Credit Card,No,0
60,118.6,1536.42,0,One-Year,Electronic,No,0
14,95.34,4492.05,0,Month-to-Month,Credit Card,No,0
9,57.63,163.71,5,Month-to-Month,Electronic,No,0
53,28.35,518.99,0,Month-to-Month,Credit Card,No,0
2,97.71,1118.64,3,Two-Year,Mailed Check,No,1
60,75.84,230.01,1,One-Year,Mailed Check,No,0
71,62.42,989.03,1,Month-to-Month,Electronic,No,1
44,110.64,2956.9,2,Month-to-Month,Bank Transfer,No,0
8,31.12,2164.98,1,Month-to-Month,Credit Card,No,0
47,69.26,4474.09,3,One-Year,Bank Transfer,No,0
35,21.14,4105.47,3,One-Year,Bank Transfer,No,0
36,66.87,1774.91,1,Month-to-Month,Bank Transfer,No,0
50,25.63,1371.17,0,Month-to-Month,Mailed Check,No,0
4,31.88,1960.49,1,Month-to-Month,Electronic,No,0
2,31.75,2992.45,3,One-Year,Electronic,No,0
6,84.92,1413.51,0,One-Year,Mailed Check,No,0
54,94.6,3158.33,1,Month-to-Month,Mailed Check,No,0
4,78.34,2106.12,1,Month-to-Month,Electronic,No,1
54,116.22,2805.03,2,Month-to-Month,Bank Transfer,No,0
63,57.49,2237.02,0,Two-Year,Credit Card,No,0
18,48.57,1542.88,2,Month-to-Month,Credit Card,No,0
44,106.86,4747.42,3,One-Year,Credit Card,No,0
34,42.36,3841.67,0,One-Year,Bank Transfer,No,0
62,116.32,786.55,0,Month-to-Month,Electronic,No,0
14,21.22,4355.49,4,Month-to-Month,Mailed Check,No,0
48,116.99,2488.41,0,Month-to-Month,Electronic,No,0
15,24.32,4483.31,3,One-Year,Bank Transfer,No,0
62,109.11,4019.29,1,One-Year,Mailed Check,No,0
40,72.77,2183.55,0,One-Year,Bank Transfer,No,1
53,119.3,210.1,3,Month-to-Month,Credit Card,No,1
24,27.38,1416.52,1,Month-to-Month,Credit Card,No,0
26,75.39,2754.01,1,Two-Year,Bank Transfer,No,0
60,116.93,3204.04,0,One-Year,Mailed Check,No,0
41,72.31,1363.65,1,Month-to-Month,Mailed Check,No,1
29,82.94,782.84,0,Two-Year,Electronic,No,0
15,89.57,4191.16,0,One-Year,Credit Card,No,0
45,65.45,4923.57,4,One-Year,Electronic,No,1
65,82.76,2675.88,0,One-Year,Electronic,No,0
71,78.43,941.23,1,Two-Year,Bank Transfer,No,0
9,110.12,1434.31,0,One-Year,Bank Transfer,Yes,0
